"United States",0.563,0.773,0.518,0.006
"Alabama",0.467,0.598,0.300,0.039
"Alaska",0.532,0.717,0.295,0.086
"Arizona",0.649,0.880,0.649,0.053
"Arkansas",0.424,0.611,0.360,0.050
"California",0.801,0.998,0.726,0.022
"Colorado",0.606,0.817,0.618,0.053
"Connecticut",0.567,0.784,0.672,0.067
"Delaware",0.625,0.979,0.565,0.095
"District of  Columbia",1.481,1.929,1.172,0.148
"Florida",0.648,0.884,0.576,0.029
"Georgia",0.642,0.832,0.456,0.036
"Hawaii",0.592,0.933,0.779,0.100
"Idaho",0.399,0.560,0.315,0.067
"Illinois",0.498,0.671,0.414,0.028
"Indiana",0.437,0.657,0.402,0.038
"Iowa",0.322,0.535,0.372,0.048
"Kansas",0.383,0.555,0.330,0.050
"Kentucky",0.447,0.673,0.405,0.041
"Louisiana",0.532,0.703,0.318,0.039
"Maine",0.655,0.970,0.774,0.109
"Maryland",0.568,0.788,0.485,0.048
"Mass",0.700,1.023,0.829,0.059
"Michigan",0.406,0.562,0.389,0.028
"Minnesota",0.483,0.657,0.602,0.040
"Mississippi",0.456,0.563,0.258,0.048
"Missouri",0.430,0.642,0.425,0.037
"Montana",0.340,0.560,0.401,0.100
"Nebraska",0.350,0.520,0.394,0.059
"Nevada",0.662,0.926,0.551,0.072
"New Hampshire",0.570,0.893,0.553,0.096
"New Jersey",0.542,0.750,0.494,0.044
"New Mexico",0.663,0.984,0.701,0.094
"New York",0.659,0.892,0.636,0.028
"North Carolina",0.517,0.728,0.474,0.033
"North Dakota",0.273,0.396,0.292,0.074
"Ohio",0.426,0.621,0.402,0.025
"Oklahoma",0.429,0.671,0.443,0.047
"Oregon",0.670,0.986,0.695,0.070
"Pennsylvania",0.443,0.670,0.438,0.028
"Rhode Island",0.605,0.886,0.885,0.155
"South Carolina",0.496,0.640,0.318,0.041
"South Dakota",0.285,0.431,0.181,0.063
"Tennessee",0.456,0.655,0.400,0.040
"Texas",0.580,0.756,0.493,0.024
"Utah",0.481,0.662,0.447,0.055
"Vermont",0.803,1.091,0.697,0.109
"Virginia",0.511,0.672,0.443,0.039
"Washington",0.700,0.927,0.632,0.048
"West Virginia",0.396,0.686,0.311,0.054
"Wisconsin",0.395,0.598,0.414,0.030
"Wyoming",0.417,0.506,0.175,0.069
