"United States",0.323,0.473,0.385,0.005
"Alabama",0.178,0.286,0.202,0.033
"Alaska",0.289,0.410,0.156,0.066
"Arizona",0.392,0.605,0.536,0.049
"Arkansas",0.163,0.309,0.273,0.046
"California",0.532,0.589,0.493,0.020
"Colorado",0.404,0.574,0.516,0.046
"Connecticut",0.330,0.404,0.385,0.059
"Delaware",0.399,0.697,0.401,0.074
"District of  Columbia",1.273,1.560,1.090,0.141
"Florida",0.385,0.598,0.460,0.027
"Georgia",0.369,0.525,0.366,0.031
"Hawaii",0.329,0.612,0.448,0.081
"Idaho",0.166,0.305,0.180,0.047
"Illinois",0.277,0.432,0.316,0.022
"Indiana",0.238,0.410,0.324,0.033
"Iowa",0.157,0.251,0.201,0.040
"Kansas",0.183,0.310,0.258,0.044
"Kentucky",0.199,0.376,0.317,0.039
"Louisiana",0.253,0.404,0.242,0.032
"Maine",0.422,0.687,0.596,0.094
"Maryland",0.344,0.506,0.365,0.041
"Mass",0.466,0.483,0.442,0.044
"Michigan",0.218,0.347,0.289,0.025
"Minnesota",0.324,0.450,0.475,0.039
"Mississippi",0.167,0.254,0.154,0.039
"Missouri",0.239,0.408,0.352,0.034
"Montana",0.136,0.293,0.235,0.063
"Nebraska",0.173,0.284,0.217,0.047
"Nevada",0.387,0.626,0.432,0.064
"New Hampshire",0.344,0.470,0.296,0.071
"New Jersey",0.284,0.418,0.343,0.035
"New Mexico",0.399,0.676,0.622,0.086
"New York",0.390,0.565,0.484,0.022
"North Carolina",0.246,0.434,0.371,0.030
"North Dakota",0.089,0.177,0.211,0.069
"Ohio",0.233,0.401,0.328,0.021
"Oklahoma",0.192,0.361,0.351,0.044
"Oregon",0.459,0.681,0.542,0.061
"Pennsylvania",0.233,0.413,0.317,0.023
"Rhode Island",0.366,0.568,0.709,0.148
"South Carolina",0.204,0.346,0.257,0.038
"South Dakota",0.106,0.202,0.056,0.033
"Tennessee",0.211,0.391,0.316,0.038
"Texas",0.299,0.457,0.387,0.021
"Utah",0.235,0.374,0.337,0.051
"Vermont",0.542,0.589,0.459,0.094
"Virginia",0.289,0.411,0.316,0.032
"Washington",0.482,0.642,0.521,0.045
"West Virginia",0.148,0.333,0.225,0.046
"Wisconsin",0.229,0.382,0.300,0.026
"Wyoming",0.152,0.244,0.167,0.069
